Номер сертификата;Название;Полное название;Юридический адрес;Аэропорты базирования;Контролирующее МТУ;Типы ВС
8;МЧС России ФГУАП;ФГУАП МЧС России;"140180 Россия, МО, г.Жуковский 5, ""Раменское""";Раменское, Домодедово, Сочи;МТУ Центр.район;"Ил-62М;Ил-76;Ка-32; Ми-26; Ми-8; Як-42"
497;Нарьян-Марский ОАО;"ОАО ""Нарьян-Марский ОАО""";166000 Арханг.обл. Ненецкий АО г.Нарьян-Мар,аэропо;Нарьян-Мар;Архангел. МТУ;"Ан-2; Ми-8"
503;Небесный Экспресс;"ЗАО ""Небесный Экспресс""";119027,Москва,ул.Цен тральная, д.2, корп.2;Внуково;МТУ Центр.район;B-737
34;Нефтеюганский ОАО;"ОАО ""Нефтеюганский объединенный авиационный отряд""";628309 Тюменская обл. Х-М АО г.Нефтеюганск,аэропо р;Нефтеюганск;Приобское МТУ;"Ка-32; Ми-8; Ми-26Т; R-44"
470;Нижневартовскавиа;"ОАО ""Нижневартовскавиа""";628613 Ханты-Манс.АО, Нижневартовск,ул.Ави аторов,2;Нижневартовск;Приобское МТУ;Ми-8
475;Нижнеудинское АП;"ОАО ""Нижнеудинское авиапредприятие""";665106 Иркутская обл.Нижнеудинск,Циал ковского 21;Нижнеудинск;Вост.-Сиб. МТУ;"Ан-2; Ми-2; Ми-8.  Действие СЭ Приостановлено"
478;Новосибирск Авиа ОАО;"ОАО ""Новосибирское Авиапредприятие""";630123,Новосибирск, ул.Аэропорт, 2/3;Новосибирск-Сев;Зап.-Сиб. МТУ;"Ан-24; Ан-30"
235;Новосибирский АРЗ;"ОАО ""Новосибирский авиаремонтный завод""";630123 г.Новосибирск-123, Новосибирский АРЗ;Новосибирск-Сев;Зап.-Сиб. МТУ;Ми-8
466;Нордавиа-региональные авиалинии;"ЗАО ""Нордавиа-региональные авиалинии""";163053 Россия, г.Архангельск, аэропорт Талаги;Арханг.-Талаги;Архангел. МТУ;"Ан-24; Ан-26; B-737;"
244;Оренбургские АЛ;"Федр.гос.унитарное предприятие ""Оренбургские авиалинии""";460049 Оренбургская обл., Оренбургский р-н, аэропорт;Оренбург, Домодедово;Приволжск. МТУ;"B-737; Ан-2;Ка-226; Ми-2; Ми-8; Ту-134; Ту-154Б; Ту-154М; B-737; Ту-204-100"
69;ПАНХ ОАО;"ОАО Научно-произ- водствен ная компания ""ПАНХ""";350000 Краснодарский кр.,Краснодар, ул.Кирова, 138;Краснодар;Южное МТУ;"Ан-2; Ка-32; Ми-2; Ми-26Т; Ми-8; Ми-171;  B-3"
330;Петроп.-Камчатско АП;ФГУ Петропавловск-Камчат ское авиационное предприятие;684005 Камчатская кр., г.Елизово, аэропорт;Елизово;Камчатское МТУ;"Ан-26; Л-410УВП-Э;  Як-40"
14;Полет (Воронеж);"ЗАО ""Авиационная компания ""Полет""";309530 Белгородская обл. г. Старый Оскол, аэропорт;Ульяновск-Вост, Воронеж;МТУ Центр.район;"BAe125-700; Ан-124; Ан-24; Ан-30; SAAB 2000; SAAB 340"
538;Полярные авиалинии;ОАО «Авиакомпания «Полярные авиалинии»;677014 Р.Саха(Якутия), г.Якутск, ул. Жуковского 5;Батагай, Нюрба, Тикси, Якутск, Маган;Саха(Якут.) МТУ;"Ан-2;Ан-24; Ан-26; Л-410УВП-Э; Ми-8; Ан-3Т"
465;Псковавиа;"ОАО ""Псковавиа""";180005 Россия, г. Псков, ул. Германа, д. 34;Псков;Сев.-Зап. МТУ;Ан-26
495;Регион-Авиа;"ООО ""Авиакомпания ""Регион-Авиа""";121351 г.Москва, ул.Боженко, д.9, корпус 2;Быково, Домодедово;МТУ Центр.район;"Ан-28; EMB-120ER"
57;Ред Вингс;"ЗАО ""Ред Вингс""";119027 Москва, Заводское шоссе, 19;Внуково;МТУ Центр.район;Ту-204
152;РОСНЕФТЬ- БАЛТИКА;"ЗАО ""РОСНЕФТЬ-БАЛТИКА""";191015 Санкт-Петербург,ул.Ш палерная, д.52;Пулково;Сев.-Зап. МТУ;Ми-8
2;Россия;"ФГУП ""Государственная транспортная компания ""Россия""";196210 г.С-Петербург, ул.Пилотов, д.18, кор.4;Внуково, Пулково;Сев.-Зап. МТУ;"B-767; A-320; Ил-18Д; Ил-62М; Ил-86; Ил-96; Ту-214; Ми-8; A-319; B-737; Як-40; ВK-117; Ан-148"
514;Роствертол-Авиа;"ЗАО ""Авиакомпания ""Роствертол-Авиа""";344038 Ростов-на-Дону, ул.Новаторов, 5;Ростов-на-Дону;Южное МТУ;"Ми-26; Ми-171"
498;РусДжет;"ОАО ""Авиакомпания ""РусДжет""";119027 Москва, Боровское шоссе, д.1, стр.2;Внуково;МТУ Центр.район;"Ту-134; Ми-8; Як-42;  Ми-171"
225;РусЛайн;"ЗАО Авиационная компания ""РусЛайн""";127540 Москва, ул.Дубнинская,д.16,к орп.5, к.216;Шереметьево Внуково;МТУ Центр.район;"Ту-134; Як-40;  CL600-2B19"
61;Русское небо;"ЗАО ""Авиакомпания ""Русское небо""";142015 Моск.обл.Домодед. р-н, Аэропорт Домодедово;Домодедово;МТУ Центр.район;Ил-76ТД
428;РусЭйр;"ЗАО ""Авиационная компания РусЭйр""";125047 Москва, ул.4-я Тверская-Ямская, 2/11, стр.2;Шереметьево;МТУ Центр.район;"Ту-134; Як-40; Як-42Д"
257;Рязаньавиатранс;"ОАО ""Рязанское авиатранспортное предприятие""";390511 Рязанская обл.,Рязанский р-н, п/о Турлатово;Тамбов;МТУ Центр.район;"Ан-2; Ан-24"
102;СарАвиа;"ОАО ""Саратовские авиалинии""";410010 Саратов, ул. Жуковского, 25;Саратов;Приволжск. МТУ;Як-42
486;Сахалин. Авиатрассы;"ОАО ""Авиакомпания ""Сахалинские Авиатрассы""";693015 Сахал.обл. г.Южно-Сахалинск,ул. Горького,50А;Южно-Сахалинск1;Дальневост.МТУ;"Ан-12; Ан-24; B-737;  DHC-8"
473;Свердловское 2-е АП;"ОАО ""Второе Свердловское АП""";620010 Свердлов.о. г.Екатеринбург, аэропорт;Уктус;Уральское МТУ;"Ан-2; Ан-74; Ми-2;  PC-12/47; Ми-8; Як-40;"
520;Сев.-Запад. авиабаза;"Гос.учреждение Р.Карелия ""Сев.-Зап. база авиац.охраны лесов""";185013 Р.Карелия, г.Петрозаводск, ул.Боровая, 4;Петрозаводск(П);Сев.-Зап. МТУ;"Ан-2; Ми-8;"
516;Северный ветер;"ООО ""Северный ветер""";124340 г.Москва, Шереметьевское шоссе, д.2, корп.3;Шереметьево;МТУ Центр.район;B-757
251;СЕВЕРСТАЛЬ;"ООО ""Авиапредприятие ""Северсталь""";162693Вологодская обл.Череповецкий р.п/оБотово а/п;Череповец;Сев.-Зап. МТУ;"Як-40; CL-600; CL-604; BD-100"
99;СИБИА;"ООО ""АВИАКОМПАНИЯ ""СИБИА""";640015 Свердлов.о. Курган, ул.Гагарина,41-в к.319;Курган;Уральское МТУ;"Ан-2; R-44"
31;Сибирь;"ОАО ""Авиакомпания ""Сибирь""";633104 Обь-4 Новосибирская обл., а/п Толмачево;Толмачево;Зап.-Сиб. МТУ;"A-319; A-320; А-310;"
246;СИМАРГЛ;"ООО ""Авиакомпания ""СИМАРГЛ""";357500 г.Пятигорск,ул.Малыг ина, д.5 к.13, к.1202;Нальчик;Южное МТУ;"Ан-2; Ми-2; Ми-8Т"
207;СИРИУС- АЭРО;"ООО Авиакомпания ""Сириус-Аэро""";125047,г.Москва, ул.Чаянова, д.22, стр.4;Внуково;МТУ Центр.район;"BAe125; Ту-134"
