Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Штогрин;Сергей;Иванович;21/07/1948;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комитета ГД по бюджету и налогам | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;http://www.duma.gov.ru/shtogrin/
Шуба;Виталий;Борисович;13/07/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по бюджету и налогам | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;http://www.vshuba.ru/
Шубина;Любовь;Федоровна;12/05/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по труду и социальной политике;02/12/2007;
Шудегов;Виктор;Евграфович;5/12/1952;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по образованию;02/12/2007;
Шурчанов;Валентин;Сергеевич;19/01/1947;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Шхагошев;Адальби;Люлевич;6/06/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по труду и социальной политике;02/12/2007;
Эверстов;Михаил;Ильич;16/04/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по безопасности;02/12/2007;
Эдель;Игорь;Олегович;2/01/1956;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по транспорту;02/12/2007;
Эркенов;Ахмат;Чокаевич;13/07/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по образованию;02/12/2007;
Южилин;Виталий;Александрович;10/12/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Юрчик;Владислав;Григорьевич;30/01/1938;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по делам национальностей;02/12/2007;
